<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
25/09/18,115620,115620,115620,115620
25/09/18,115620,115640,115620,115640
25/09/18,115630,115640,115630,115640
25/09/18,115640,115660,115640,115650
25/09/18,115660,115680,115650,115660
25/09/18,115660,115680,115650,115660
25/09/18,115670,115670,115660,115660
25/09/18,115670,115680,115660,115660
25/09/18,115680,115680,115660,115670
25/09/18,115670,115670,115650,115650
25/09/18,115660,115660,115650,115660
25/09/18,115650,115670,115650,115670
25/09/18,115650,115660,115650,115650
25/09/18,115650,115670,115650,115660
25/09/18,115660,115680,115660,115670
25/09/18,115670,115680,115640,115660
25/09/18,115650,115650,115630,115630
25/09/18,115640,115650,115640,115650
25/09/18,115630,115650,115560,115610
25/09/18,115580,115580,115560,115560
25/09/18,115560,115600,115560,115600
25/09/18,115600,115600,115550,115570
25/09/18,115560,115560,115540,115550
25/09/18,115550,115550,115500,115520
25/09/18,115510,115530,115500,115530
25/09/18,115510,115520,115500,115510
25/09/18,115500,115510,115490,115500
25/09/18,115500,115520,115500,115510
25/09/18,115500,115530,115500,115510
25/09/18,115530,115540,115510,115530
25/09/18,115520,115530,115510,115510
25/09/18,115530,115530,115500,115500
25/09/18,115500,115520,115490,115500
25/09/18,115500,115530,115490,115530
25/09/18,115530,115580,115520,115580
25/09/18,115570,115610,115550,115590
25/09/18,115590,115630,115570,115570
25/09/18,115560,115580,115450,115490
25/10/18,111070,111420,111070,111160
25/10/18,111160,111180,110720,110800
25/10/18,110800,110840,110590,110830
25/10/18,110820,110880,110730,110780
25/10/18,110770,110850,110710,110740
25/10/18,110740,110790,110620,110780
25/10/18,110780,110800,110650,110720
25/10/18,110720,110720,110570,110620
25/10/18,110620,110640,110510,110530
25/10/18,110530,110610,110500,110600
25/10/18,110600,110600,110490,110570
25/10/18,110580,110610,110480,110550
25/10/18,110550,110550,110400,110450
25/10/18,110440,110520,110410,110500
25/10/18,110490,110580,110470,110560
25/10/18,110560,110640,110500,110550
25/10/18,110560,110680,110510,110660
25/10/18,110660,110930,110640,110910
25/10/18,110910,110920,110800,110890
25/10/18,110880,111120,110860,111110
25/10/18,111100,111240,111040,111230
25/10/18,111220,111330,111110,111300
25/10/18,111320,111320,111210,111300
25/10/18,111310,111330,111230,111270
25/10/18,111270,111310,111220,111220
25/10/18,111220,111230,111140,111170
25/10/18,111180,111220,111140,111190
25/10/18,111200,111210,111070,111080
25/10/18,111080,111170,111050,111120
25/10/18,111110,111130,111070,111080
25/10/18,111090,111090,110980,111020
25/10/18,111010,111020,110930,110940
25/10/18,110940,111040,110920,111020
25/10/18,111040,111050,110950,111010
25/10/18,111010,111140,111000,111130
25/10/18,111120,111260,111050,111240
25/10/18,111230,111240,111140,111180
25/10/18,111170,111320,111150,111240
25/10/18,111240,111270,111160,111160
25/10/18,111160,111320,111140,111240
25/10/18,111240,111250,111100,111120
25/10/18,111110,111200,111010,111060
25/10/18,111060,111170,111050,111150
25/10/18,111160,111200,111110,111160
25/10/18,111170,111230,111150,111220
25/10/18,111220,111280,111170,111260
25/10/18,111250,111380,111250,111360
25/10/18,111350,111380,111230,111230
25/10/18,111230,111320,111230,111310
25/10/18,111300,111340,111280,111280
25/10/18,111280,111280,111190,111240
25/10/18,111240,111250,111180,111190
25/10/18,111190,111260,111180,111200
25/10/18,111200,111280,111190,111280
25/10/18,111270,111360,111270,111310
25/10/18,111310,111460,111310,111440
25/10/18,111430,111470,111370,111380
25/10/18,111390,111410,111350,111360
25/10/18,111360,111360,111300,111300
25/10/18,111310,111380,111300,111360
25/10/18,111370,111370,111250,111320
25/10/18,111330,111550,111330,111520
25/10/18,111530,111580,111470,111570
25/10/18,111570,111650,111550,111580
25/10/18,111570,111570,111500,111510
25/10/18,111510,111540,111470,111540
25/10/18,111540,111570,111460,111570
25/10/18,111560,111580,111520,111560
25/10/18,111550,111610,111540,111600
25/10/18,111590,111620,111560,111580
25/10/18,111580,111600,111510,111540
25/10/18,111530,111560,111460,111490
25/10/18,111500,111500,111380,111420
25/10/18,111430,111490,111390,111410
25/10/18,111400,111480,111390,111410
25/10/18,111400,111410,111320,111390
25/10/18,111390,111470,111360,111460
25/10/18,111450,111460,111350,111350
25/10/18,111350,111380,111290,111340
25/10/18,111340,111380,111230,111250
25/10/18,111240,111290,111190,111290
25/10/18,111280,111460,111260,111440
25/10/18,111440,111460,111300,111320
25/10/18,111330,111410,111310,111370
25/10/18,111370,111420,111360,111390
25/10/18,111380,111550,111380,111550
25/10/18,111540,111610,111520,111580
25/10/18,111580,111630,111530,111530
25/10/18,111550,111580,111510,111580
25/10/18,111570,111630,111570,111600
25/10/18,111600,111710,111590,111600
25/10/18,111600,111750,111550,111590
25/10/18,111590,111630,111560,111600
25/10/18,111610,111630,111530,111540
25/10/18,111540,111600,111510,111570
25/10/18,111580,111660,111470,111470
25/10/18,111470,111530,111460,111510
25/10/18,111500,111560,111470,111530
25/10/18,111520,111680,111510,111600
25/10/18,111600,111610,111560,111580
25/10/18,111590,111670,111570,111610
25/10/18,111610,111750,111560,111750
25/10/18,111750,111790,111700,111780
25/10/18,111770,111850,111770,111770
25/10/18,111770,111870,111770,111850
25/10/18,111860,111880,111810,111840
25/10/18,111840,111900,111800,111890
25/10/18,111880,111990,111870,111920
25/10/18,111920,111970,111900,111970
25/10/18,111960,111980,111850,111880
25/10/18,111880,111930,111870,111920
25/10/18,111910,111960,111870,111870
25/10/18,111870,111950,111850,111940
25/10/18,111940,111980,111910,111930
25/10/18,111930,111960,111900,111960
25/10/18,111960,111970,111910,111940
25/10/18,111930,111930,111880,111930
25/10/18,111920,111950,111880,111910
25/10/18,111910,111930,111870,111920
25/10/18,111920,111930,111850,111900
25/10/18,111890,111930,111850,111920
25/10/18,111920,112070,111920,112020
25/10/18,112020,112030,111950,111950
25/10/18,111950,111960,111830,111860
25/10/18,111870,111930,111840,111860
25/10/18,111850,111870,111790,111830
25/10/18,111830,111830,111740,111760
25/10/18,111750,111840,111740,111810
25/10/18,111810,111820,111750,111800
25/10/18,111790,111830,111790,111820
25/10/18,111810,111840,111800,111830
25/10/18,111820,111830,111780,111820
25/10/18,111810,111860,111800,111850
25/10/18,111850,111880,111830,111850
25/10/18,111840,111870,111800,111870
25/10/18,111860,111920,111810,111920
25/10/18,111920,112020,111870,111970
25/10/18,111970,111990,111880,111990
25/10/18,111980,111990,111860,111870
25/10/18,111860,111910,111820,111850
25/10/18,111850,111910,111810,111840
25/10/18,111830,111830,111750,111760
25/10/18,111770,111780,111710,111770
25/10/18,111780,111780,111710,111760
25/10/18,111740,111860,111740,111860
25/10/18,111860,111870,111820,111830
25/10/18,111830,111900,111830,111890
25/10/18,111880,111930,111860,111910
25/10/18,111900,111960,111870,111940
25/10/18,111940,111950,111890,111900
25/10/18,111900,111960,111880,111880
25/10/18,111870,111880,111710,111710
25/10/18,111710,111770,111710,111740
25/10/18,111720,111750,111710,111720
25/10/18,111720,111760,111700,111700
25/10/18,111700,111750,111700,111730
25/10/18,111720,111760,111700,111740
25/10/18,111730,111770,111730,111740
25/10/18,111730,111760,111720,111730
25/10/18,111720,111780,111700,111750
25/10/18,111740,111810,111730,111790
25/10/18,111800,111890,111770,111860
25/10/18,111850,111950,111850,111910
25/10/18,111900,111990,111900,111970
25/10/18,111970,111990,111930,111960
25/10/18,111960,112000,111940,112000
25/10/18,112000,112040,111910,111920
25/10/18,111920,111940,111830,111840
25/10/18,111840,111860,111790,111820
25/10/18,111820,111900,111810,111870
25/10/18,111870,111910,111850,111890
25/10/18,111870,111900,111830,111830
25/10/18,111820,111830,111760,111760
25/10/18,111760,111840,111740,111830
25/10/18,111830,111830,111760,111790
25/10/18,111790,111810,111730,111780
25/10/18,111770,111770,111700,111730
25/10/18,111720,111820,111720,111810
25/10/18,111810,111870,111810,111810
25/10/18,111810,111840,111800,111820
25/10/18,111820,111860,111790,111810
25/10/18,111810,111820,111640,111680
25/10/18,111680,111780,111650,111730
25/10/18,111750,111770,111640,111690
25/10/18,111690,111780,111680,111760
25/10/18,111750,111800,111730,111780
25/10/18,111770,111780,111650,111670
25/10/18,111660,111670,111620,111670
25/10/18,111660,111700,111650,111650
25/10/18,111670,111680,111620,111620
25/10/18,111630,111640,111590,111610
25/10/18,111600,111690,111600,111660
25/10/18,111670,111710,111610,111650
25/10/18,111640,111700,111640,111670
25/10/18,111660,111660,111540,111540
25/10/18,111540,111600,111510,111580
25/10/18,111590,111620,111560,111600
25/10/18,111610,111650,111590,111620
25/10/18,111620,111650,111600,111650
25/10/18,111640,111690,111630,111650
25/10/18,111640,111660,111590,111640
25/10/18,111630,111700,111630,111670
25/10/18,111670,111680,111560,111560
25/10/18,111570,111640,111560,111620
25/10/18,111620,111660,111590,111660
25/10/18,111650,111670,111600,111620
25/10/18,111630,111690,111610,111640
25/10/18,111640,111660,111540,111550
25/10/18,111540,111570,111470,111510
25/10/18,111510,111540,111450,111500
25/10/18,111490,111540,111400,111450
25/10/18,111450,111490,111420,111450
25/10/18,111460,111500,111450,111500
25/10/18,111490,111510,111460,111500
25/10/18,111500,111550,111500,111500
25/10/18,111500,111520,111410,111430
25/10/18,111430,111470,111410,111470
25/10/18,111460,111540,111450,111500
25/10/18,111500,111510,111490,111500
25/10/18,111490,111530,111430,111520
25/10/18,111530,111530,111480,111520
25/10/18,111500,111510,111460,111470
25/10/18,111470,111560,111450,111540
25/10/18,111540,111540,111480,111490
25/10/18,111490,111530,111490,111520
25/10/18,111510,111620,111500,111590
25/10/18,111590,111680,111590,111620
25/10/18,111630,111630,111540,111550
25/10/18,111540,111560,111430,111490
25/10/18,111480,111580,111450,111520
25/10/18,111530,111530,111430,111520
25/10/18,111510,111540,111470,111480
25/10/18,111480,111590,111470,111580
25/10/18,111570,111610,111520,111530
25/10/18,111520,111570,111510,111570
25/10/18,111560,111610,111550,111590
25/10/18,111580,111590,111550,111580
25/10/18,111560,111680,111550,111640
25/10/18,111640,111670,111630,111660
25/10/18,111670,111730,111660,111690
25/10/18,111690,111700,111570,111640
25/10/18,111630,111640,111420,111480
25/10/18,111480,111480,111230,111240
25/10/18,111250,111390,111210,111360
25/10/18,111350,111500,111300,111480
25/10/18,111480,111530,111430,111470
25/10/18,111480,111590,111480,111580
25/10/18,111580,111600,111520,111580
25/10/18,111580,111640,111570,111600
25/10/18,111590,111610,111550,111570
25/10/18,111570,111580,111460,111470
25/10/18,111470,111520,111370,111430
25/10/18,111430,111470,111380,111420
25/10/18,111420,111430,111370,111370
25/10/18,111370,111460,111350,111440
25/10/18,111440,111630,111430,111580
25/10/18,111570,111600,111510,111560
25/10/18,111550,111550,111500,111540
25/10/18,111530,111580,111520,111530
25/10/18,111540,111570,111500,111550
25/10/18,111540,111600,111540,111570
25/10/18,111560,111560,111520,111520
25/10/18,111520,111690,111510,111680
25/10/18,111670,111690,111560,111560
25/10/18,111560,111600,111510,111510
25/10/18,111510,111610,111490,111580
25/10/18,111580,111610,111540,111550
25/10/18,111540,111560,111510,111530
25/10/18,111530,111570,111520,111520
25/10/18,111520,111620,111520,111610
25/10/18,111600,111630,111510,111530
25/10/18,111520,111520,111380,111450
25/10/18,111440,111450,111310,111330
25/10/18,111320,111360,111310,111320
25/10/18,111310,111330,111150,111170
25/10/18,111180,111290,111150,111260
25/10/18,111250,111300,111180,111280
25/10/18,111280,111290,111200,111210
25/10/18,111200,111250,111190,111210
25/10/18,111210,111230,111160,111180
25/10/18,111180,111230,111140,111170
25/10/18,111170,111270,111170,111260
25/10/18,111260,111270,111230,111240
25/10/18,111230,111280,111190,111210
25/10/18,111200,111290,111170,111290
25/10/18,111280,111310,111230,111290
25/10/18,111280,111300,111150,111190
25/10/18,111200,111260,111180,111260
25/10/18,111260,111290,111250,111290
25/10/18,111280,111400,111280,111370
25/10/18,111360,111370,111260,111310
25/10/18,111310,111370,111300,111330
25/10/18,111330,111420,111300,111340
25/10/18,111350,111390,111170,111190
25/10/18,111190,111270,111190,111260
25/10/18,111260,111300,111240,111280
25/10/18,111280,111280,111210,111260
25/10/18,111250,111300,111200,111290
25/10/18,111280,111350,111270,111330
25/10/18,111330,111390,111310,111380
25/10/18,111370,111390,111310,111310
25/10/18,111310,111350,111280,111320
25/10/18,111310,111490,111300,111480
25/10/18,111480,111480,111430,111450
25/10/18,111440,111480,111400,111450
25/10/18,111440,111500,111440,111470
25/10/18,111470,111500,111440,111440
25/10/18,111440,111550,111430,111500
25/10/18,111490,111600,111490,111590
25/10/18,111580,111650,111530,111610
25/10/18,111620,111660,111550,111570
25/10/18,111560,111640,111560,111640
25/10/18,111630,111650,111600,111600
25/10/18,111600,111640,111590,111600
25/10/18,111590,111610,111560,111590
25/10/18,111580,111600,111550,111570
25/10/18,111570,111590,111560,111580
25/10/18,111560,111600,111550,111590
25/10/18,111590,111630,111590,111620
25/10/18,111620,111650,111550,111580
25/10/18,111580,111630,111580,111580
25/10/18,111570,111570,111530,111570
25/10/18,111560,111600,111560,111600
25/10/18,111590,111610,111570,111590
25/10/18,111590,111650,111580,111630
25/10/18,111640,111640,111560,111590
25/10/18,111580,111590,111480,111550
25/10/18,111530,111540,111390,111400
25/10/18,111390,111400,111280,111330
25/10/18,111320,111420,111310,111360
25/10/18,111350,111410,111240,111380
25/10/18,111370,111390,111230,111320
25/10/18,111310,111310,111110,111160
25/10/18,111150,111160,111050,111090
25/10/18,111090,111180,111050,111060
25/10/18,111060,111070,110960,110970
25/10/18,110970,110970,110750,110760
25/10/18,110760,110800,110710,110780
25/10/18,110770,110830,110740,110770
25/10/18,110760,110770,110660,110690
25/10/18,110690,110790,110680,110770
25/10/18,110760,110770,110660,110700
25/10/18,110710,110710,110610,110630
25/10/18,110620,110640,110340,110490
25/10/18,110480,110540,110420,110530
25/10/18,110540,110570,110450,110570
25/10/18,110570,110670,110560,110620
25/10/18,110610,110640,110570,110610
25/10/18,110610,110610,110570,110590
25/10/18,110590,110690,110550,110580
25/10/18,110560,110730,110510,110630
25/10/18,110620,110660,110580,110660
25/10/18,110650,110690,110640,110660
25/10/18,110680,110720,110650,110680
25/10/18,110660,110710,110650,110650
25/10/18,110640,110730,110610,110710
25/10/18,110710,110770,110670,110770
25/10/18,110760,110780,110690,110720
25/10/18,110740,110770,110680,110710
25/10/18,110700,110870,110690,110850
25/10/18,110840,110850,110730,110770
25/10/18,110770,110780,110560,110610
25/10/18,110600,110650,110590,110590
25/10/18,110600,110630,110540,110580
25/10/18,110580,110610,110530,110550
25/10/18,110560,110700,110550,110700
25/10/18,110680,110740,110640,110700
25/10/18,110710,110740,110610,110610
25/10/18,110610,110610,110410,110460
25/10/18,110460,110500,110410,110460
25/10/18,110460,110470,110380,110400
25/10/18,110390,110430,110320,110340
25/10/18,110330,110420,110320,110420
25/10/18,110410,110510,110390,110470
25/10/18,110470,110500,110460,110460
25/10/18,110460,110480,110440,110480
25/10/18,110470,110540,110470,110500
25/10/18,110480,110590,110480,110560
25/10/18,110550,110590,110480,110570
25/10/18,110570,110630,110540,110570
25/10/18,110570,110640,110490,110580
25/10/18,110580,110600,110510,110510
25/10/18,110510,110580,110490,110550
25/10/18,110530,110560,110450,110560
25/10/18,110550,110710,110510,110670
25/10/18,110670,110840,110560,110830
25/10/18,110840,110990,110770,110870
25/10/18,110880,110900,110690,110770
25/10/18,110770,110770,110590,110710
25/10/18,110710,110730,110580,110670
25/10/18,110680,110850,110560,110820
25/10/18,110810,111230,110800,111050
25/10/18,111050,111050,110810,110860
25/10/18,110850,111000,110840,110860
25/10/18,110860,110930,110760,110920
25/10/18,110920,110920,110710,110710
25/10/18,110720,110800,110660,110680
25/10/18,110690,110860,110680,110830
25/10/18,110840,110930,110750,110920
25/10/18,110930,111070,110920,111000
25/10/18,110990,111010,110790,110840
25/10/18,110830,110830,110600,110770
25/10/18,110780,110990,110650,110950
25/10/18,110940,111050,110870,111000
25/10/18,111000,111030,110920,111020
25/10/18,111020,111060,110960,111010
25/10/18,111010,111060,110970,111060
25/10/18,111050,111320,111030,111300
25/10/18,111290,111340,111240,111280
25/10/18,111260,111290,111130,111150
25/10/18,111150,111160,111080,111130
25/10/18,111120,111220,111110,111190
25/10/18,111180,111300,111170,111260
25/10/18,111270,111270,111130,111140
25/10/18,111140,111190,111120,111130
25/10/18,111130,111250,111110,111220
25/10/18,111220,111290,111200,111250
25/10/18,111250,111330,111220,111300
25/10/18,111320,111380,111290,111340
25/10/18,111340,111450,111300,111440
25/10/18,111440,111560,111440,111540
25/10/18,111530,111590,111400,111400
25/10/18,111420,111450,111370,111450
25/10/18,111450,111510,111340,111370
25/10/18,111360,111480,111360,111410
25/10/18,111410,111530,111390,111440
25/10/18,111420,111460,111260,111310
25/10/18,111320,111370,111250,111270
25/10/18,111270,111320,111230,111300
25/10/18,111300,111380,111260,111340
25/10/18,111340,111520,111330,111500
25/10/18,111500,111550,111380,111380
25/10/18,111380,111390,111220,111300
25/10/18,111290,111320,111220,111300
25/10/18,111300,111300,111120,111150
25/10/18,111160,111220,111150,111200
25/10/18,111190,111280,111120,111170
25/10/18,111180,111220,111100,111140
25/10/18,111150,111150,111040,111060
25/10/18,111060,111160,111040,111080
25/10/18,111080,111220,111050,111200
25/10/18,111200,111230,111170,111190
25/10/18,111210,111220,111130,111160
25/10/18,111150,111330,111130,111320
25/10/18,111310,111410,111250,111400
25/10/18,111400,111470,111350,111390
25/10/18,111390,111500,111360,111430
25/10/18,111430,111600,111420,111580
25/10/18,111580,111750,111570,111660
25/10/18,111670,111700,111600,111640
25/10/18,111640,111730,111630,111680
25/10/18,111660,111690,111550,111570
25/10/18,111570,111610,111530,111540
25/10/18,111540,111560,111450,111520
25/10/18,111530,111540,111380,111410
25/10/18,111400,111490,111400,111480
25/10/18,111490,111600,111480,111580
25/10/18,111580,111700,111560,111590
25/10/18,111590,111620,111440,111480
25/10/18,111480,111560,111460,111510
25/10/18,111510,111610,111510,111590
25/10/18,111580,111590,111500,111590
25/10/18,111590,111630,111480,111520
25/10/18,111500,111630,111410,111430
25/10/18,111430,111560,111430,111480
25/10/18,111480,111520,111430,111450
25/10/18,111450,111500,111390,111490
25/10/18,111490,111510,111230,111240
25/10/18,111250,111320,111230,111300
25/10/18,111300,111340,111260,111320
25/10/18,111340,111340,111270,111310
25/10/18,111330,111360,111290,111330
25/10/18,111340,111490,111320,111490
25/10/18,111490,111580,111460,111540
25/10/18,111530,111600,111400,111450
25/10/18,111430,111520,111410,111510
25/10/18,111510,111620,111500,111580
25/10/18,111570,111600,111530,111580
25/10/18,111570,111580,111390,111420
25/10/18,111420,111460,111370,111400
25/10/18,111410,111450,111380,111390
25/10/18,111390,111410,111290,111300
25/10/18,111310,111370,111280,111300
25/10/18,111300,111340,111270,111300
25/10/18,111320,111380,111290,111370
25/10/18,111370,111370,111250,111300
25/10/18,111290,111350,111270,111340
25/10/18,111340,111350,111190,111240
25/10/18,111230,111270,111130,111160
25/10/18,111160,111260,111150,111250
25/10/18,111240,111280,111180,111250
25/10/18,111280,111300,111190,111240
25/10/18,111220,111280,111200,111280
25/10/18,111290,111360,111290,111320
25/10/18,111320,111440,111290,111430
25/10/18,111420,111570,111420,111540
25/10/18,111540,111620,111520,111570
25/10/18,111560,111600,111490,111550
25/10/18,111530,111560,111470,111500
25/10/18,111500,111610,111490,111610
25/10/18,111610,111630,111540,111610
25/10/18,111610,111640,111570,111630
25/10/18,111630,111630,111560,111610
25/10/18,111600,111700,111590,111670
25/10/18,111660,111700,111620,111650
25/10/18,111650,111890,111650,111830
25/10/18,111820,111930,111820,111840
25/10/18,111840,111890,111790,111890
25/10/18,111900,111950,111860,111880
25/10/18,111880,111930,111860,111860
25/10/18,111870,111910,111830,111860
25/10/18,111860,111870,111820,111830
25/10/18,111830,111910,111830,111860
25/10/18,111880,111900,111750,111750
25/10/18,111750,111790,111670,111760
25/10/18,111770,111780,111630,111720
25/10/18,111710,111780,111640,111650
25/10/18,111650,111750,111650,111710
25/10/18,111700,111850,111670,111840
25/10/18,111840,111850,111750,111790
25/10/18,111830,111980,111800,111800
25/10/18,111790,111860,111770,111830
25/10/18,111830,111870,111800,111800
25/10/18,111800,111810,111710,111730
25/10/18,111730,111870,111710,111850
25/10/18,111850,111920,111830,111870
25/10/18,111860,111870,111720,111760
25/10/18,111770,111840,111720,111740
25/10/18,111720,111840,111710,111810
25/10/18,111800,111800,111730,111760
25/10/18,111770,111770,111650,111660
25/10/18,111650,111730,111640,111700
25/10/18,111700,111730,111640,111680
25/10/18,111680,111750,111680,111740
25/10/18,111730,111730,111650,111680
25/10/18,111660,111730,111640,111720
25/10/18,111730,111740,111670,111720
25/10/18,111710,111760,111700,111750
25/10/18,111730,111770,111700,111710
25/10/18,111700,111750,111700,111750
25/10/18,111760,111880,111750,111830
25/10/18,111840,111850,111790,111800
25/10/18,111810,111840,111760,111780
25/10/18,111780,111830,111780,111800
25/10/18,111790,111800,111730,111780
25/10/18,111770,111830,111750,111790
25/10/18,111790,111900,111770,111860
25/10/18,111860,111880,111800,111820
25/10/18,111810,111850,111780,111840
25/10/18,111830,111830,111740,111800
25/10/18,111780,111870,111760,111850
25/10/18,111850,111870,111830,111840
25/10/18,111840,111880,111840,111860
25/10/18,111870,111890,111840,111860
25/10/18,111860,111900,111850,111890
25/10/18,111900,111970,111860,111870
25/10/18,111870,111880,111800,111850
25/10/18,111860,111900,111850,111880
25/10/18,111860,111910,111860,111880
25/10/18,111860,111910,111860,111910
25/10/18,111910,111930,111870,111870
25/10/18,111870,111920,111870,111910
25/10/18,111920,112210,111920,112110
25/10/18,112120,112130,112070,112090
25/10/18,112090,112150,112090,112120
25/10/18,112120,112140,112030,112080
25/10/18,112090,112110,112060,112070
25/10/18,112080,112110,112060,112070
25/10/18,112060,112130,112060,112120
25/10/18,112110,112130,112080,112080
25/10/18,112090,112150,112090,112110
25/10/18,112110,112130,112100,112120
25/10/18,112140,112150,112110,112150
25/10/18,112140,112150,112090,112110
25/10/18,112120,112170,112100,112120
25/10/18,112140,112190,112090,112090
25/10/18,112100,112110,112060,112080
25/10/18,112080,112080,112030,112050
25/10/18,112040,112040,111980,112010
25/10/18,112020,112020,111960,111980
25/10/18,111980,112010,111890,111900
25/10/18,111890,111910,111830,111890
25/10/18,111870,111900,111860,111890
25/10/18,111900,111930,111880,111920
25/10/18,111920,111920,111820,111850
25/10/18,111840,111860,111780,111810
25/10/18,111800,111810,111740,111790
25/10/18,111790,111830,111780,111820
25/10/18,111820,111830,111780,111800
25/10/18,111800,111830,111780,111830
25/10/18,111830,111870,111820,111850
25/10/18,111840,111880,111830,111880
25/10/18,111870,111870,111810,111830
25/10/18,111830,111830,111750,111770
25/10/18,111780,111800,111750,111780
25/10/18,111770,111840,111760,111840
25/10/18,111830,111880,111830,111850
25/10/18,111840,111920,111830,111910
25/10/18,111890,111920,111870,111890
25/10/18,111890,111920,111890,111910
25/10/18,111900,112070,111890,112050
25/10/18,112070,112070,111960,112000
25/10/18,112010,112040,111990,112030
25/10/18,112030,112080,112030,112040
25/10/18,112050,112070,112010,112020
25/10/18,112030,112050,111980,111980
25/10/18,111980,112030,111980,112020
25/10/18,112020,112050,111990,111990
25/10/18,111990,112030,111980,111980
25/10/18,112000,112050,111990,112030
25/10/18,112030,112090,112030,112070
25/10/18,112090,112190,112090,112180
25/10/18,112160,112190,112130,112190
25/10/18,112190,112280,112180,112230
25/10/18,112230,112240,112160,112160
25/10/18,112170,112180,112150,112170
25/10/18,112170,112210,112140,112190
25/10/18,112190,112200,112150,112150
25/10/18,112160,112200,112160,112160
25/10/18,112170,112190,112150,112170
25/10/18,112180,112200,112100,112110
25/10/18,112110,112130,112100,112110
25/10/18,112100,112150,112090,112100
25/10/18,112110,112140,112090,112140
25/10/18,112120,112170,112110,112140
25/10/18,112140,112160,112090,112090
25/10/18,112090,112110,112090,112100
25/10/18,112110,112110,112070,112070
25/10/18,112080,112100,112060,112090
25/10/18,112090,112110,112060,112060
25/10/18,112070,112100,112060,112080
25/10/18,112070,112110,112060,112070
25/10/18,112080,112090,112060,112070
25/10/18,112070,112070,112040,112040
25/10/18,112040,112080,112040,112080
25/10/18,112070,112090,112030,112050
25/10/18,112040,112040,111970,111990
25/10/18,111990,112000,111970,111980
25/10/18,111970,112050,111970,112040
25/10/18,112030,112030,112010,112020
25/10/18,112030,112100,112020,112100
25/10/18,112100,112170,112090,112120
25/10/18,112120,112140,112100,112110
25/10/18,112110,112130,112060,112070
25/10/18,112100,112150,112100,112130
25/10/18,112130,112170,112100,112130
25/10/18,112110,112120,112090,112110
25/10/18,112120,112130,112080,112090
25/10/18,112090,112090,112070,112090
25/10/18,112080,112120,112060,112110
25/10/18,112120,112130,112070,112080
25/10/18,112080,112080,111980,112000
25/10/18,112000,112010,111950,111990
25/10/18,111990,111990,111960,111980
25/10/18,111960,111970,111850,111900
25/10/18,111900,111920,111830,111860
25/10/18,111860,111880,111820,111870
25/10/18,111880,111880,111800,111810
25/10/18,111820,111890,111820,111880
25/10/18,111880,111900,111830,111890
25/10/18,111870,111930,111870,111920
25/10/18,111930,111940,111920,111920
25/10/18,111920,112010,111900,112000
25/10/18,112000,112130,111980,112090
25/10/18,112080,112100,112060,112060
25/10/18,112060,112120,112060,112090
25/10/18,112090,112120,112050,112100
25/10/18,112120,112130,112090,112110
25/10/18,112110,112150,112090,112100
25/10/18,112090,112140,112090,112120
25/10/18,112130,112130,112110,112120
25/10/18,112120,112120,112090,112120
25/10/18,112130,112130,112080,112080
25/10/18,112090,112120,112040,112060
25/10/18,112050,112080,112030,112070
25/10/18,112050,112120,112050,112100
25/10/18,112100,112110,112050,112050
25/10/18,112060,112140,112060,112110
25/10/18,112120,112150,112120,112140
25/10/18,112150,112150,112110,112110
25/10/18,112110,112150,112110,112130
25/10/18,112140,112140,112130,112130
25/10/18,112130,112200,112130,112180
25/10/18,112190,112200,112140,112150
25/10/18,112140,112150,112100,112130
25/10/18,112130,112150,112060,112080
25/10/18,112060,112090,112030,112040
25/10/18,112050,112070,112030,112070
25/10/18,112060,112060,112030,112040
25/10/18,112040,112050,111980,112020
25/10/18,112020,112060,112010,112050
25/10/18,112030,112040,112010,112040
25/10/18,112040,112040,111990,111990
25/10/18,111980,112000,111970,111980
25/10/18,111990,112000,111960,111970
25/10/18,111970,112000,111910,111920
25/10/18,111910,111950,111880,111940
25/10/18,111950,111950,111920,111940
25/10/18,111940,112050,111940,112000
25/10/18,112000,112010,111960,111990
25/10/18,111980,112010,111950,111980
25/10/18,111990,112000,111970,111990
25/10/18,111990,112040,111970,112040
25/10/18,112030,112040,111970,111990
25/10/18,111990,112010,111970,112010
25/10/18,112000,112020,111970,111990
25/10/18,111990,112070,111990,112050
25/10/18,112050,112090,112050,112070
25/10/18,112080,112110,112070,112090
25/10/18,112090,112140,112090,112130
25/10/18,112130,112170,112120,112170
25/10/18,112170,112190,112120,112120
25/10/18,112130,112160,112130,112160
25/10/18,112160,112170,112080,112080
25/10/18,112090,112120,112090,112100
25/10/18,112100,112120,112080,112080
25/10/18,112070,112080,112030,112060
25/10/18,112040,112060,112030,112050
25/10/18,112040,112090,112030,112060
25/10/18,112090,112120,112050,112060
25/10/18,112050,112050,111970,112000
25/10/18,112000,112010,111970,112000
25/10/18,112000,112020,111970,111970
25/10/18,111970,112010,111950,112010
25/10/18,112010,112040,112010,112040
25/10/18,112040,112080,112020,112020
25/10/18,112030,112030,111960,111960
25/10/18,111960,111970,111920,111920
25/10/18,111920,111930,111850,111870
25/10/18,111870,111960,111860,111890
25/10/18,111900,111950,111880,111950
25/10/18,111960,111960,111920,111920
25/10/18,111910,111930,111900,111920
25/10/18,111920,111950,111910,111940
25/10/18,111930,111950,111910,111950
25/10/18,111950,111980,111940,111940
25/10/18,111930,111950,111920,111940
